place_id,place_name,place_type,popularity,rating_count,average_rating,budget,keywords
750,The Great Escape Egypt - Alexandria,"['outdoor', 'indoor']",3820,200,2.47,1000,['Music']
133,Sky Fun Amusement Park,['indoor'],6028,100,4.34,250,"['Pet lovers', 'Cars', 'Art and culture', 'Health and fitness', 'History and politics', 'Movies and TV', 'Travel', 'Fashion', 'DIY and crafts', 'Parenting']"
852,Exit Games Egypt - Cairo,"['outdoor', 'indoor']",5167,3000,3.54,500,"['Art and culture', 'Music', 'Sports', 'Science and nature', 'Reading', 'Photography', 'Food and drink', 'Volunteering', 'Gardening']"
630,"Tintawi - Maadi, Cairo",['outdoor'],601,2000,1.54,500,"['Reading', 'Art and culture', 'Movies and TV', 'Sports', 'Science and nature', 'Photography', 'Technology', 'Cars', 'History and politics', 'Health and fitness']"
342,The Box Egypt - Cairo,"['indoor', 'outdoor']",2144,200,3.06,500,"['Health and fitness', 'Movies and TV', 'Fashion', 'Art and culture', 'Dancing', 'Music', 'Photography', 'Reading', 'Gardening', 'Parenting', 'Technology', 'Pet lovers', 'Food and drink', 'Cars']"
34,Hysteria Egypt - Cairo,"['indoor', 'outdoor']",3055,200,1.76,500,"['Volunteering', 'Health and fitness', 'Photography', 'Food and drink', 'History and politics', 'Pet lovers', 'Fashion']"
877,Alexandria Zoo,"['indoor', 'outdoor']",7898,1000,3.96,100,"['Cars', 'DIY and crafts', 'Dancing', 'Movies and TV', 'Gardening', 'Volunteering', 'Parenting', 'Science and nature', 'Art and culture', 'Fashion', 'Outdoor activities', 'Health and fitness', 'History and politics', 'Travel', 'Technology', 'Music', 'Reading']"
3,Amaze Egypt - Cairo,['outdoor'],861,100,3.25,1000,"['Fashion', 'Movies and TV', 'Parenting', 'Dancing', 'Sports', 'Cars', 'Food and drink', 'Music', 'Technology', 'Photography', 'Pet lovers', 'Health and fitness', 'Outdoor activities', 'Travel', 'History and politics', 'Gardening', 'DIY and crafts', 'Science and nature']"
911,"The Smokery, Cairo",['indoor'],2476,2000,1.55,500,"['Sports', 'Reading', 'Art and culture']"
462,Kharga Oasis,"['indoor', 'outdoor']",735,5000,1.7,100,"['Parenting', 'Music', 'Gardening', 'Travel', 'Pet lovers']"
573,Mena House Hotel - Cairo,"['indoor', 'outdoor']",2758,3000,1.55,1000,"['Music', 'Gardening', 'Volunteering', 'Pet lovers']"
299,"Grand Cafe, Cairo",['indoor'],8271,1000,4.7,500,"['Technology', 'Pet lovers', 'Gardening', 'History and politics']"
668,Pyramids Park Resort Cairo - Cairo,"['outdoor', 'indoor']",2229,4000,2.31,1000,"['Dancing', 'Parenting', 'Sports', 'Volunteering', 'Health and fitness', 'DIY and crafts', 'Movies and TV', 'Food and drink', 'Art and culture', 'History and politics', 'Science and nature', 'Music', 'Technology', 'Travel']"
392,Happy Dolphin,['indoor'],5654,5000,4.16,1000,"['Art and culture', 'Sports', 'Movies and TV', 'Parenting']"
556,The Japan Foundation - Cairo,['indoor'],9078,100,1.82,250,"['Art and culture', 'Parenting', 'Photography', 'Gardening', 'Cars', 'Movies and TV', 'DIY and crafts', 'Fashion', 'Travel', 'Health and fitness', 'Sports', 'Food and drink', 'Dancing', 'Pet lovers', 'Music', 'Science and nature']"
740,Alexandria Zoo,['indoor'],9986,10000,2.59,500,"['Parenting', 'Gardening', 'Music', 'Sports']"
66,"Caffè Greco - Downtown, Cairo","['outdoor', 'indoor']",4935,10000,3.99,250,"['Reading', 'Movies and TV', 'Travel', 'Dancing', 'Sports', 'Food and drink', 'Art and culture', 'Science and nature']"
615,The Riddle Egypt - Cairo,['outdoor'],149,3000,2.63,500,"['Travel', 'Photography', 'Parenting', 'Reading', 'Sports', 'Dancing', 'Volunteering']"
892,Tahrir Square,['outdoor'],7170,10000,2.52,1000,"['Fashion', 'Cars', 'Movies and TV', 'Outdoor activities', 'Music', 'Sports', 'Reading', 'Dancing', 'Parenting', 'DIY and crafts', 'Food and drink', 'History and politics', 'Pet lovers', 'Technology', 'Photography', 'Volunteering', 'Science and nature', 'Gardening', 'Travel', 'Art and culture']"
208,Aswan Dam,['indoor'],9431,10000,1.78,250,"['Science and nature', 'Travel', 'Pet lovers', 'DIY and crafts', 'Movies and TV', 'Sports', 'Technology', 'Photography', 'Gardening', 'Parenting', 'Volunteering', 'Art and culture', 'History and politics', 'Fashion', 'Cars', 'Health and fitness', 'Food and drink', 'Dancing', 'Music', 'Reading', 'Outdoor activities']"
776,The Escape Hunt Experience Egypt - Cairo,"['outdoor', 'indoor']",1705,4000,4.22,1000,"['Travel', 'Fashion', 'Art and culture', 'Volunteering']"
359,Space Sharm El Sheikh,"['indoor', 'outdoor']",9106,3000,1.15,250,"['Pet lovers', 'DIY and crafts', 'Sports', 'Food and drink', 'Movies and TV']"
55,The Swedish Institute - Alexandria,"['indoor', 'outdoor']",9391,1000,2.71,100,"['History and politics', 'Reading', 'Sports']"
458,Al-Manshiya Square,['outdoor'],1786,200,2.37,1000,"['Outdoor activities', 'Photography', 'Cars', 'Dancing', 'History and politics', 'DIY and crafts', 'Music', 'Travel', 'Volunteering', 'Technology']"
519,Mersa Matrouh Beach,['indoor'],4532,5000,3.05,250,"['Food and drink', 'Dancing', 'Technology', 'Outdoor activities', 'Cars', 'Movies and TV', 'Gardening', 'DIY and crafts', 'Music', 'History and politics', 'Travel', 'Health and fitness', 'Parenting', 'Art and culture', 'Reading', 'Pet lovers', 'Volunteering']"
598,"Delice - Heliopolis, Cairo","['indoor', 'outdoor']",9875,200,2.16,250,"['Technology', 'Fashion', 'History and politics', 'Reading', 'Volunteering', 'Outdoor activities', 'Cars', 'Parenting', 'Movies and TV']"
761,The Marina El Alamein,"['indoor', 'outdoor']",8050,3000,2.4,500,"['Food and drink', 'Sports', 'Health and fitness', 'Technology', 'Volunteering', 'Cars', 'History and politics', 'Photography', 'Outdoor activities', 'Movies and TV', 'Gardening', 'Parenting', 'Science and nature']"
7,Escape Hour Egypt - Cairo,['outdoor'],8987,200,2.62,500,"['Art and culture', 'Photography', 'Gardening', 'Outdoor activities', 'Travel', 'Dancing', 'Reading', 'Science and nature', 'Food and drink', 'Health and fitness', 'Volunteering', 'Technology', 'Music', 'History and politics', 'Cars', 'Pet lovers', 'Movies and TV', 'DIY and crafts', 'Sports', 'Parenting']"
217,"La Poire Cafe - Nasr City, Cairo","['indoor', 'outdoor']",7516,5000,2.42,250,"['Science and nature', 'Music', 'Outdoor activities', 'Volunteering', 'Sports', 'Dancing', 'Parenting', 'Photography', 'Health and fitness', 'Reading', 'Cars']"
246,Kempinski Nile Hotel - Cairo,"['outdoor', 'indoor']",1303,5000,3.8,500,"['Outdoor activities', 'Gardening', 'Volunteering', 'DIY and crafts', 'Photography', 'Technology', 'Pet lovers', 'Parenting', 'Health and fitness', 'Dancing', 'Science and nature', 'History and politics', 'Sports', 'Art and culture', 'Travel', 'Movies and TV', 'Cars', 'Fashion', 'Music', 'Food and drink']"
972,Citadel of Qaitbay,"['indoor', 'outdoor']",8172,200,2.7,100,"['History and politics', 'Volunteering', 'Parenting', 'Cars', 'Technology']"
78,"La Maison Blanche - Heliopolis, Cairo",['outdoor'],6576,100,1.8,1000,"['Art and culture', 'DIY and crafts', 'Sports', 'Reading', 'Science and nature', 'Parenting']"
300,Karnak Temple,['indoor'],4250,4000,1.53,250,"['Science and nature', 'Movies and TV', 'Gardening', 'Reading', 'Volunteering', 'Photography', 'Technology', 'Parenting', 'Health and fitness', 'Art and culture', 'Dancing', 'Pet lovers', 'History and politics', 'Sports', 'Fashion']"
97,Exit Games Egypt - Cairo,['outdoor'],8825,3000,1.2,1000,"['Music', 'Parenting', 'Science and nature', 'Movies and TV', 'Photography', 'Art and culture', 'Volunteering', 'Cars', 'History and politics', 'Travel', 'Reading', 'Fashion', 'Health and fitness', 'Gardening', 'Dancing']"
856,"9 Lounge, Cairo",['outdoor'],6939,3000,4.45,250,"['Art and culture', 'Technology', 'Science and nature', 'Music', 'Photography', 'Travel', 'Volunteering', 'Health and fitness', 'Food and drink', 'Reading', 'DIY and crafts', 'Pet lovers', 'Movies and TV', 'Gardening']"
876,Dinosaur Park,"['indoor', 'outdoor']",3168,2000,1.41,500,"['Technology', 'Reading', 'Cars', 'Movies and TV', 'Music', 'Photography', 'Gardening', 'Science and nature', 'Dancing', 'Sports', 'Food and drink', 'Volunteering', 'Parenting', 'Outdoor activities', 'DIY and crafts', 'History and politics', 'Art and culture', 'Health and fitness', 'Travel']"
267,"El Rowad, Cairo",['indoor'],7346,200,1.54,500,"['Science and nature', 'Volunteering', 'Gardening', 'DIY and crafts', 'Pet lovers', 'Photography', 'Movies and TV', 'Cars', 'Dancing', 'Music', 'Art and culture', 'Outdoor activities', 'Parenting', 'History and politics', 'Health and fitness']"
214,"The Smokery Beach, Alexandria",['outdoor'],2458,5000,1.16,500,"['Volunteering', 'Travel', 'Art and culture', 'Food and drink', 'DIY and crafts', 'Photography', 'Pet lovers', 'Health and fitness', 'Music', 'Cars', 'Gardening', 'Reading', 'Fashion']"
789,Xscapology Egypt - Cairo,"['indoor', 'outdoor']",8281,100,2.15,500,"['Art and culture', 'Music', 'Technology', 'Science and nature', 'Travel', 'Cars', 'Volunteering', 'Food and drink', 'Sports', 'Movies and TV', 'Gardening', 'DIY and crafts', 'Fashion']"
148,Family Land,['indoor'],7567,1000,3.24,100,"['Dancing', 'Pet lovers', 'Cars', 'Photography', 'Travel', 'Art and culture', 'History and politics', 'Outdoor activities', 'Health and fitness', 'Fashion', 'Movies and TV', 'DIY and crafts', 'Science and nature', 'Volunteering', 'Parenting', 'Gardening']"
952,Cairo Jazz Festival - Cairo,"['outdoor', 'indoor']",9085,5000,2.83,100,"['Gardening', 'Pet lovers', 'Cars', 'Parenting', 'Volunteering', 'Outdoor activities', 'DIY and crafts', 'Food and drink', 'Technology', 'Fashion', 'Music', 'Dancing', 'Movies and TV', 'Travel', 'Sports', 'Photography', 'Science and nature', 'Art and culture']"
481,"Cinnabon Cafe - Citystars Mall, Cairo","['indoor', 'outdoor']",9668,5000,2.75,250,"['Science and nature', 'Parenting', 'Reading', 'Health and fitness', 'Fashion', 'History and politics', 'Cars', 'Art and culture', 'DIY and crafts', 'Volunteering', 'Photography', 'Gardening', 'Music', 'Movies and TV', 'Travel', 'Sports', 'Pet lovers', 'Technology', 'Outdoor activities', 'Dancing', 'Food and drink']"
397,The Great Escape Egypt - Alexandria,['outdoor'],2070,1000,2.26,250,"['Cars', 'Photography', 'Sports', 'Outdoor activities', 'Fashion', 'Music', 'Reading', 'DIY and crafts', 'Science and nature', 'Parenting', 'Volunteering', 'Movies and TV', 'Art and culture', 'Technology', 'Dancing', 'History and politics', 'Travel', 'Gardening', 'Pet lovers', 'Food and drink', 'Health and fitness']"
297,"Coffee Republic - Maadi, Cairo","['indoor', 'outdoor']",3356,5000,3.63,250,"['Music', 'Food and drink']"
995,Escape House Egypt - Cairo,"['outdoor', 'indoor']",6377,200,2.6,1000,"['Fashion', 'Outdoor activities', 'Health and fitness', 'History and politics', 'DIY and crafts']"
114,Almaza City Center,['indoor'],1556,3000,1.55,100,"['Pet lovers', 'Photography', 'Music', 'Sports', 'Fashion', 'Health and fitness', 'Gardening', 'Reading', 'DIY and crafts', 'Movies and TV', 'History and politics', 'Art and culture']"
533,Zahran Park,['outdoor'],458,200,1.61,100,"['Sports', 'Health and fitness', 'Volunteering', 'Pet lovers', 'Art and culture', 'Movies and TV', 'Outdoor activities', 'Reading', 'DIY and crafts', 'History and politics', 'Music', 'Parenting', 'Cars', 'Technology', 'Fashion', 'Dancing', 'Food and drink', 'Photography', 'Gardening']"
770,Get Out Egypt - Cairo,['outdoor'],3704,5000,3.55,250,"['Food and drink', 'Travel', 'Science and nature', 'Cars', 'DIY and crafts', 'History and politics', 'Dancing', 'Outdoor activities', 'Reading', 'Gardening', 'Fashion', 'Art and culture', 'Photography', 'Movies and TV', 'Health and fitness', 'Technology', 'Sports', 'Music', 'Pet lovers', 'Volunteering']"
128,Trapped Egypt - Cairo,['indoor'],687,4000,4.78,250,"['Travel', 'History and politics']"
353,"Sand Bar, Hurghada",['outdoor'],4430,4000,4.29,1000,"['Dancing', 'Science and nature', 'Volunteering', 'Pet lovers', 'Reading', 'Food and drink', 'Travel', 'Health and fitness', 'Photography', 'Movies and TV', 'Fashion', 'Sports', 'DIY and crafts', 'Music']"
108,Al-Mashaya Reserve,['indoor'],8816,1000,3.98,1000,"['Music', 'Art and culture', 'Science and nature', 'Fashion', 'Outdoor activities', 'Parenting', 'Pet lovers', 'DIY and crafts', 'Health and fitness', 'Movies and TV', 'Food and drink', 'Photography', 'Sports', 'Dancing']"
576,"The Lemon Tree & Co., Cairo",['indoor'],3051,3000,2.42,1000,"['Technology', 'Photography', 'Music', 'Outdoor activities', 'Volunteering', 'Cars', 'Pet lovers', 'Science and nature', 'Food and drink', 'Fashion', 'Parenting', 'Art and culture', 'Sports', 'DIY and crafts', 'Health and fitness', 'Travel', 'Gardening']"
138,The Magnolia Hall - Cairo,"['indoor', 'outdoor']",6723,4000,1.72,1000,"['Volunteering', 'Movies and TV', 'Pet lovers']"
350,"The Backyard, Cairo","['indoor', 'outdoor']",2682,2000,3.64,100,"['Art and culture', 'Outdoor activities', 'Technology', 'Photography']"
346,Point 90 Mall - New Cairo,"['indoor', 'outdoor']",9696,2000,2.81,1000,"['Science and nature', 'Music', 'History and politics', 'DIY and crafts', 'Parenting', 'Health and fitness', 'Movies and TV', 'Fashion']"
924,"Cairo Jazz Club, Cairo","['outdoor', 'indoor']",4005,100,1.17,100,"['Cars', 'Art and culture', 'Food and drink', 'Dancing', 'History and politics', 'Technology', 'Sports', 'Fashion', 'Outdoor activities', 'Travel', 'Volunteering', 'Movies and TV', 'Photography', 'Pet lovers', 'Music', 'Gardening', 'Reading', 'Health and fitness', 'DIY and crafts']"
748,"Teatro, Cairo","['indoor', 'outdoor']",9963,100,1.76,1000,"['Cars', 'Sports', 'Dancing', 'Movies and TV', 'Art and culture', 'Gardening', 'Health and fitness']"
562,Heliopolis Sporting Club - Cairo,['outdoor'],9853,2000,4.83,100,"['Cars', 'Science and nature', 'Outdoor activities', 'Music', 'Movies and TV', 'Fashion', 'Gardening', 'Dancing', 'DIY and crafts', 'Pet lovers', 'Travel', 'Parenting', 'Reading', 'Volunteering', 'Health and fitness', 'Art and culture']"
724,Breakout Egypt - Alexandria,['outdoor'],3589,200,4.2,250,"['Parenting', 'Outdoor activities', 'Pet lovers', 'Dancing', 'Sports', 'Movies and TV', 'Gardening', 'Volunteering']"
368,"Pegasus Lounge Bar, Alexandria",['outdoor'],5988,200,1.79,1000,"['Pet lovers', 'Parenting', 'History and politics', 'Photography', 'Dancing', 'Movies and TV', 'Volunteering', 'Food and drink', 'Health and fitness', 'Technology', 'Fashion', 'Sports', 'Art and culture', 'Travel', 'Reading', 'Cars', 'DIY and crafts', 'Outdoor activities']"
411,Porto Marina Resort and Spa,"['outdoor', 'indoor']",2518,1000,4.67,100,"['Movies and TV', 'Photography', 'Fashion', 'Dancing', 'Sports', 'Cars', 'DIY and crafts', 'Parenting', 'Technology', 'Gardening', 'Reading', 'Outdoor activities', 'Science and nature', 'Pet lovers', 'History and politics', 'Art and culture', 'Music', 'Health and fitness', 'Volunteering', 'Food and drink', 'Travel']"
819,Cleopatra's Bath,['outdoor'],5536,200,3.92,100,"['Technology', 'Volunteering', 'DIY and crafts', 'Dancing', 'Travel', 'Outdoor activities', 'Cars']"
216,The German Cultural Center - Cairo,['outdoor'],6760,4000,4.49,500,"['History and politics', 'Pet lovers', 'DIY and crafts', 'Health and fitness', 'Dancing']"
474,Adventure Rooms Egypt - Cairo,"['indoor', 'outdoor']",8443,10000,3.52,500,"['Outdoor activities', 'Photography', 'DIY and crafts', 'Art and culture', 'Parenting', 'Sports', 'Food and drink', 'Music', 'Technology']"
863,Al Koronfel Park,"['indoor', 'outdoor']",4827,1000,3.12,100,"['Fashion', 'Sports', 'Gardening', 'DIY and crafts', 'Volunteering', 'Pet lovers', 'Photography', 'History and politics', 'Food and drink', 'Cars', 'Health and fitness', 'Movies and TV', 'Dancing', 'Science and nature', 'Reading', 'Technology', 'Travel', 'Art and culture']"
963,Tivoli Dome,['indoor'],3933,4000,1.15,1000,"['Dancing', 'Music', 'Gardening', 'Volunteering', 'Food and drink', 'Outdoor activities', 'Fashion', 'Parenting', 'Technology', 'Sports', 'Cars', 'Photography', 'Health and fitness', 'Pet lovers', 'History and politics', 'Science and nature', 'Reading']"
796,"The Backyard, Cairo","['outdoor', 'indoor']",3647,500,3.68,100,"['Reading', 'Music']"
415,"The Lemon Tree & Co., Cairo","['outdoor', 'indoor']",3073,500,3.68,1000,"['Photography', 'Music', 'Volunteering', 'Science and nature', 'DIY and crafts', 'Sports', 'Technology', 'Reading', 'Food and drink', 'Pet lovers', 'Art and culture', 'History and politics']"
